store,dayofweek,date,sales,open,promo,stateholiday,schoolholiday
25,5,2015-07-31,14180,1,1,1,1
25,4,2015-07-30,11272,1,1,1,1
25,3,2015-07-29,10527,1,1,1,1
25,2,2015-07-28,10865,1,1,1,1
25,1,2015-07-27,11806,1,1,1,1
25,7,2015-07-26,0,0,0,1,0
25,6,2015-07-25,7285,1,0,1,0
25,5,2015-07-24,7165,1,0,1,1
25,4,2015-07-23,8323,1,0,1,1
25,3,2015-07-22,9047,1,0,1,1
25,2,2015-07-21,8718,1,0,1,1
25,1,2015-07-20,10493,1,0,1,1
25,7,2015-07-19,0,0,0,1,0
25,6,2015-07-18,7861,1,0,1,0
25,5,2015-07-17,9155,1,1,1,1
25,4,2015-07-16,12281,1,1,1,1
25,3,2015-07-15,12171,1,1,1,1
25,2,2015-07-14,12233,1,1,1,1
25,1,2015-07-13,11899,1,1,1,1
25,7,2015-07-12,0,0,0,1,0
25,6,2015-07-11,7996,1,0,1,0
25,5,2015-07-10,9300,1,0,1,1
25,4,2015-07-09,10159,1,0,1,1
25,3,2015-07-08,9246,1,0,1,1
25,2,2015-07-07,8802,1,0,1,1
25,1,2015-07-06,12496,1,0,1,1
25,7,2015-07-05,0,0,0,1,0
25,6,2015-07-04,8243,1,0,1,0
25,5,2015-07-03,10709,1,1,1,1
25,4,2015-07-02,12263,1,1,1,1
25,3,2015-07-01,12712,1,1,1,1
25,2,2015-06-30,16572,1,1,1,1
25,1,2015-06-29,14621,1,1,1,1
25,7,2015-06-28,0,0,0,1,0
25,6,2015-06-27,9082,1,0,1,0
25,5,2015-06-26,9430,1,0,1,0
25,4,2015-06-25,9116,1,0,1,0
25,3,2015-06-24,9138,1,0,1,0
25,2,2015-06-23,9788,1,0,1,0
25,1,2015-06-22,10972,1,0,1,0
25,7,2015-06-21,0,0,0,1,0
25,6,2015-06-20,8067,1,0,1,0
25,5,2015-06-19,10679,1,1,1,0
25,4,2015-06-18,11233,1,1,1,0
25,3,2015-06-17,12022,1,1,1,0
25,2,2015-06-16,12278,1,1,1,0
25,1,2015-06-15,14639,1,1,1,0
25,7,2015-06-14,0,0,0,1,0
25,6,2015-06-13,8235,1,0,1,0
25,5,2015-06-12,9065,1,0,1,0
25,4,2015-06-11,8906,1,0,1,0
25,3,2015-06-10,9346,1,0,1,0
25,2,2015-06-09,9798,1,0,1,0
25,1,2015-06-08,11460,1,0,1,0
25,7,2015-06-07,0,0,0,1,0
25,6,2015-06-06,8830,1,0,1,0
25,5,2015-06-05,13330,1,1,1,0
25,4,2015-06-04,0,0,1,1,0
25,3,2015-06-03,14023,1,1,1,0
25,2,2015-06-02,13582,1,1,1,0
25,1,2015-06-01,16017,1,1,1,0
25,7,2015-05-31,0,0,0,1,0
25,6,2015-05-30,10986,1,0,1,0
25,5,2015-05-29,13911,1,0,1,0
25,4,2015-05-28,10630,1,0,1,0
25,3,2015-05-27,7562,1,0,1,0
25,2,2015-05-26,12259,1,0,1,1
25,1,2015-05-25,0,0,0,1,0
25,7,2015-05-24,0,0,0,1,0
25,6,2015-05-23,9288,1,0,1,0
25,5,2015-05-22,11091,1,1,1,0
25,4,2015-05-21,11076,1,1,1,0
25,3,2015-05-20,11331,1,1,1,0
25,2,2015-05-19,12023,1,1,1,0
25,1,2015-05-18,13977,1,1,1,0
25,7,2015-05-17,0,0,0,1,0
25,6,2015-05-16,9183,1,0,1,0
25,5,2015-05-15,12333,1,0,1,0
25,4,2015-05-14,0,0,0,1,0
25,3,2015-05-13,12797,1,0,1,0
25,2,2015-05-12,9458,1,0,1,0
25,1,2015-05-11,10477,1,0,1,0
25,7,2015-05-10,0,0,0,1,0
25,6,2015-05-09,9459,1,0,1,0
25,5,2015-05-08,11309,1,1,1,0
25,4,2015-05-07,12241,1,1,1,0
25,3,2015-05-06,12306,1,1,1,0
25,2,2015-05-05,13109,1,1,1,0
25,1,2015-05-04,16048,1,1,1,0
25,7,2015-05-03,0,0,0,1,0
25,6,2015-05-02,12184,1,0,1,0
25,5,2015-05-01,0,0,1,1,0
25,4,2015-04-30,18272,1,1,1,0
25,3,2015-04-29,12585,1,1,1,0
25,2,2015-04-28,12287,1,1,1,0
25,1,2015-04-27,13556,1,1,1,0
25,7,2015-04-26,0,0,0,1,0
25,6,2015-04-25,8022,1,0,1,0
25,5,2015-04-24,7970,1,0,1,0
25,4,2015-04-23,9766,1,0,1,0
25,3,2015-04-22,9740,1,0,1,0
25,2,2015-04-21,9046,1,0,1,0
25,1,2015-04-20,9841,1,0,1,0
25,7,2015-04-19,0,0,0,1,0
25,6,2015-04-18,9045,1,0,1,0
25,5,2015-04-17,10806,1,1,1,0
25,4,2015-04-16,11610,1,1,1,0
25,3,2015-04-15,9793,1,1,1,0
25,2,2015-04-14,12359,1,1,1,0
25,1,2015-04-13,14376,1,1,1,0
25,7,2015-04-12,0,0,0,1,0
25,6,2015-04-11,8721,1,0,1,0
25,5,2015-04-10,8905,1,0,1,1
25,4,2015-04-09,9368,1,0,1,1
25,3,2015-04-08,10201,1,0,1,1
25,2,2015-04-07,11946,1,0,1,1
25,1,2015-04-06,0,0,0,1,1
25,7,2015-04-05,0,0,0,1,0
25,6,2015-04-04,12187,1,0,1,0
25,5,2015-04-03,0,0,1,1,1
25,4,2015-04-02,15696,1,1,1,1
25,3,2015-04-01,14803,1,1,1,1
25,2,2015-03-31,16250,1,1,1,1
25,1,2015-03-30,15391,1,1,1,1
25,7,2015-03-29,0,0,0,1,0
25,6,2015-03-28,8927,1,0,1,0
25,5,2015-03-27,10015,1,0,1,0
25,4,2015-03-26,9629,1,0,1,0
25,3,2015-03-25,8268,1,0,1,0
